Testing v8 version different from logging version
Statistical profiling result from isolate-0x562c3ce11fc0-52-v8.log, (106201 ticks, 56096 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.0%    0.0%  LazyCompile: *getHeaderValue /app/node_modules/helmet/dist/middlewares/content-security-policy/index.js:62:24
      8    0.0%    0.0%  LazyCompile: *get net.js:1682:6
      8    0.0%    0.0%  LazyCompile: *fromList _stream_readable.js:1199:18
      8    0.0%    0.0%  LazyCompile: *RedisClient.internal_send_command /app/node_modules/redis/index.js:797:56
      8    0.0%    0.0%  LazyCompile: *Readable.on _stream_readable.js:872:33
      7    0.0%    0.0%  LazyCompile: *removeListener events.js:450:28
      7    0.0%    0.0%  LazyCompile: *ondata _stream_readable.js:716:18
      7    0.0%    0.0%  LazyCompile: *ndjson /app/node_modules/ipfs-utils/src/http.js:250:33
      7    0.0%    0.0%  LazyCompile: *isInsideNodeModules internal/util.js:353:29
      7    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:76:8
      7    0.0%    0.0%  LazyCompile: *emitReadable_ _stream_readable.js:553:23
      7    0.0%    0.0%  LazyCompile: *afterWriteTick _stream_writable.js:475:24
      7    0.0%    0.0%  LazyCompile: *addAll /app/node_modules/ipfs-http-client/src/add-all.js:16:27
      7    0.0%    0.0%  LazyCompile: *_wordDiv /app/node_modules/bn.js/lib/bn.js:2250:45
      6    0.0%    0.0%  LazyCompile: *smallMulTo /app/node_modules/bn.js/lib/bn.js:992:23
      6    0.0%    0.0%  LazyCompile: *parserOnBody _http_common.js:125:22
      6    0.0%    0.0%  LazyCompile: *doWrite _stream_writable.js:393:17
      6    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:342:22
      6    0.0%    0.0%  LazyCompile: *_normSign /app/node_modules/bn.js/lib/bn.js:340:47
      6    0.0%    0.0%  LazyCompile: *Socket._write net.js:798:35
      6    0.0%    0.0%  LazyCompile: *Readable.resume _stream_readable.js:959:37
      5    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      5    0.0%    0.0%  LazyCompile: *streamFiles /app/node_modules/ipfs-http-client/src/lib/multipart-request.js:11:32
      5    0.0%    0.0%  LazyCompile: *decode /app/node_modules/multibase/src/base.js:41:10
      5    0.0%    0.0%  LazyCompile: *clearBuffer _stream_writable.js:497:21
